판매소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업자등록번호,대형폐기물스티커판매여부,영업상태명,전화번호,지정일자,폐업일자,관리기관명,데이터기준일자,제공기관코드,제공기관명
해동상회,충청북도,충주시,충청북도 충주시 행정9길 17,충청북도 충주시 목행동 611-3,37.01246454,127.9181663,303-04-63498,N,영업,043-853-3786,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
한성유통,충청북도,충주시,충청북도 충주시 목행산단5로 54,충청북도 충주시 목행동 426-4,37.00606579,127.9238262,303-02-81357,N,영업,043-847-6197,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
한국전력공사 충주전력지사,충청북도,충주시,,충청북도 충주시 금릉동 187-7,36.99980762,127.9199667,120-82-00052,N,영업,043-720-3312,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
킹콩백화점,충청북도,충주시,충청북도 충주시 목수1길 13-2,충청북도 충주시 목행동 178-3,37.01739613,127.9310412,532-86-01913,N,영업,070-4247-2779,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
중원마트,충청북도,충주시,충청북도 충주시 충원대로 948,충청북도 충주시 목행동 673-2,37.01030271,127.9159206,842-88-01380,N,영업,0507-1353-778,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
종갓집식자재종합유통,충청북도,충주시,충청북도 충주시 목행산단7로 24,충청북도 충주시 목행동 526-29,37.00399645,127.9230838,303-09-83465,N,영업,043-851-5251,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
제일큰마트,충청북도,충주시,충청북도 충주시 목행산단7로 24,충청북도 충주시 목행동 526-29,37.00399645,127.9230838,303-13-19581,N,영업,043-853-6626,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
이마트24용탄점,충청북도,충주시,충청북도 충주시 5산단1길 11,충청북도 충주시 용탄동 1173,37.00820117,127.9488958,831-42-00914,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
영무예다음아파트,충청북도,충주시,충청북도 충주시 행정2길 6,충청북도 충주시 목행동 896,37.00990421,127.9162307,161-01-01276,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
엠디기업,충청북도,충주시,충청북도 충주시 목행산단7로 24,충청북도 충주시 목행동 526-29,37.00399645,127.9230838,303-08-56020,N,영업,0507-1404-858,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
씨유충주동산점,충청북도,충주시,충청북도 충주시 행정10길 28,충청북도 충주시 목행동 593-9,37.01395277,127.9191475,641-40-01219,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세중참사랑아파트,충청북도,충주시,충청북도 충주시 목행산단6로 71,충청북도 충주시 목행동 508-39,37.00439816,127.9194247,228-82-60859,N,영업,043-842-3599,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐충주목행점,충청북도,충주시,충청북도 충주시 충원대로 952,충청북도 충주시 목행동 673-6,37.01068257,127.9158648,303-08-39303,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐세중점,충청북도,충주시,충청북도 충주시 목행산단3로 13-6,충청북도 충주시 목행동 508-43,37.00384062,127.918339,656-85-01570,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
세븐동산점,충청북도,충주시,충청북도 충주시 행정10길 34,충청북도 충주시 목행동 593-8,37.0142108,127.9197687,408-28-92940,N,영업,,,,충주시시설관리공단,2026-01-31,4390000,충청북도 충주시
